run,smokerContacts,uniqueTrialist,customerCount,scWithPurchase,red,blue,caster,menthol
(blank),,,,,,,,
15-Jun,132,90,683,117,60,0,147,27
16-Jun,188,107,524,60,51,0,38,31
22-Jun,161,134,445,60,2,0,115,3
23-Jun,231,198,450,66,11,10,103,6
29-Jun,337,213,782,70,6,0,121,12
30-Jun,181,142,542,58,6,16,81,9
06-Jul,274,235,571,82,3,0,131,15
07-Jul,276,233,548,41,6,10,41,23
13-Jul,243,197,608,58,0,0,100,12
14-Jul,278,209,675,74,10,10,81,28
15-Jul,282,228,512,55,0,3,90,14
26-Jul,313,251,523,51,20,12,69,0
27-Jul,299,244,498,62,4,8,104,8
02-Aug,419,355,659,41,3,1,68,9
04-Aug,339,264,598,53,11,11,72,11
10-Aug,313,248,516,46,7,10,66,9
17-Aug,343,229,542,91,30,30,104,8
18-Aug,367,261,516,39,2,0,67,9
24-Aug,424,270,720,53,10,1,86,8
25-Aug,415,282,630,47,13,14,59,8
31-Aug,454,308,535,49,4,0,85,9
01-Sep,359,226,597,40,10,12,39,19
07-Sep,403,356,628,115,21,50,140,4
08-Sep,342,324,487,46,5,0,81,6
21-Sep,336,288,587,69,12,16,103,7
22-Sep,295,231,507,110,56,30,78,7
29-Sep,346,243,534,36,14,10,44,4
Grand Total,8350,6366,15417,1689,377,254,2313,306
